Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,One carbon pool by folate,3/20,0.9062484642077382,0.999996465739109,0,0,0.5336769148747113,0.0525360987646137,DHFR;MTHFD2;TYMS
KEGG_2021_Human,Folate biosynthesis,1/26,0.9994041114727066,0.999996465739109,0,0,0.1208536339842963,7.203675904431118e-05,DHFR
KEGG_2021_Human,Propanoate metabolism,1/34,0.9999369769353986,0.999996465739109,0,0,0.0915069763469199,5.7672318180091366e-06,LDHA
KEGG_2021_Human,Glycolysis / Gluconeogenesis,5/67,0.9999428103708756,0.999996465739109,0,0,0.2432516753004491,1.391187090547661e-05,LDHA;PKM;PGK1;ENO1;GAPDH
KEGG_2021_Human,Thyroid cancer,1/37,0.9999715574983234,0.999996465739109,0,0,0.0838646175871865,2.3853534491974147e-06,MYC
KEGG_2021_Human,Pyruvate metabolism,2/47,0.9999726200173352,0.999996465739109,0,0,0.1341298608314315,3.672523541453312e-06,LDHA;PKM
KEGG_2021_Human,Pyrimidine metabolism,3/56,0.999975650578168,0.999996465739109,0,0,0.1707689676794163,4.158176254629867e-06,RRM2;TK1;TYMS
KEGG_2021_Human,Bladder cancer,1/41,0.9999888279479272,0.999996465739109,0,0,0.0754580229514797,8.430256708877742e-07,MYC
KEGG_2021_Human,Pathways in cancer,3/531,0.9999932213582944,0.999996465739109,0,0,0.0165980042112972,1.1251230491745738e-07,MYC;CKS2;BIRC5
KEGG_2021_Human,Herpes simplex virus 1 infection,1/498,0.999993331185642,0.999996465739109,0,0,0.0058879550708721,3.9265810244639336e-08,EIF4EBP1
KEGG_2021_Human,Alzheimer disease,1/369,0.9999938350035984,0.999996465739109,0,0,0.0080225138085275,4.9458921218575784e-08,GAPDH
KEGG_2021_Human,PI3K-Akt signaling pathway,3/354,0.9999939033797156,0.999996465739109,0,0,0.0252726349403086,1.5407812849267245e-07,MYC;RPS6;EIF4EBP1
KEGG_2021_Human,Human papillomavirus infection,2/331,0.9999940132686462,0.999996465739109,0,0,0.0179983768042139,1.0775176927150056e-07,PKM;EIF4EBP1
KEGG_2021_Human,MicroRNAs in cancer,1/310,0.9999941197336644,0.999996465739109,0,0,0.0095927620678354,5.640816169984289e-08,MYC
KEGG_2021_Human,MAPK signaling pathway,1/294,0.999994205161496,0.999996465739109,0,0,0.0101275929668233,5.868793572006212e-08,MYC
KEGG_2021_Human,Salmonella infection,3/249,0.9999944690735812,0.999996465739109,0,0,0.0363176381008523,2.008707395397889e-07,MYC;RPS3;GAPDH
KEGG_2021_Human,Chemical carcinogenesis,3/239,0.9999945332884744,0.999996465739109,0,0,0.0378821240206871,2.0709121005143897e-07,MYC;EIF4EBP1;BIRC5
KEGG_2021_Human,Thermogenesis,1/232,0.9999945796316548,0.999996465739109,0,0,0.012899857675376,6.992216970431507e-08,RPS6
KEGG_2021_Human,Coronavirus disease,7/232,0.9999945796316548,0.999996465739109,0,0,0.0928567269143765,5.033190273012047e-07,RPL5;RPS14;RPL3;RPS7;RPL11;RPS6;RPS3
KEGG_2021_Human,Human cytomegalovirus infection,2/225,0.9999946272599668,0.999996465739109,0,0,0.0267450953479174,1.43694830485467e-07,MYC;EIF4EBP1
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,1/219,0.9999946690911088,0.999996465739109,0,0,0.0136811210872492,7.293300444551303e-08,MYC
KEGG_2021_Human,Human immunodeficiency virus 1 infection,2/212,0.9999947191853186,0.999996465739109,0,0,0.0284256755460943,1.5011112110823093e-07,CCNB1;CDK1
KEGG_2021_Human,Proteoglycans in cancer,2/205,0.9999947707218808,0.999996465739109,0,0,0.0294197587932919,1.538445031778017e-07,MYC;RPS6
KEGG_2021_Human,Viral carcinogenesis,2/203,0.9999947856697166,0.999996465739109,0,0,0.029716500061112,1.5495205017252353e-07,PKM;CDK1
KEGG_2021_Human,Diabetic cardiomyopathy,1/203,0.9999947856697166,0.999996465739109,0,0,0.0147807210759328,7.7071762456346e-08,GAPDH
KEGG_2021_Human,Epstein-Barr virus infection,1/202,0.9999947932777558,0.999996465739109,0,0,0.0148552586373548,7.734740695452341e-08,MYC
KEGG_2021_Human,Pathogenic Escherichia coli infection,2/197,0.9999948314318936,0.999996465739109,0,0,0.0306432458667658,1.583821125647075e-07,RPS3;GAPDH
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,1/193,0.9999948626371816,0.999996465739109,0,0,0.0155610361720689,7.994289399377468e-08,MYC
KEGG_2021_Human,Transcriptional misregulation in cancer,1/192,0.9999948704658688,0.999996465739109,0,0,0.0156435616429692,8.024438918998272e-08,MYC
KEGG_2021_Human,Type II diabetes mellitus,1/46,0.9999948705806062,0.999996465739109,0,0,0.0670514283157729,3.439357788804326e-07,PKM
