Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,G2/M DNA Replication Checkpoint R-HSA-69478,2/5,0.3638115761978504,0.999996464736758,0,0,2.0175862531883477,2.0400201844936108,CCNB1;CDK1
Reactome_2022,Phosphorylation Of Emi1 R-HSA-176417,2/6,0.4622772347331639,0.999996464736758,0,0,1.513089005235602,1.1674850910388648,CCNB1;CDK1
Reactome_2022,"Activation Of NIMA Kinases NEK9, NEK6, NEK7 R-HSA-2980767",2/7,0.5510883852555488,0.999996464736758,0,0,1.2103906564639548,0.7212234659855956,CCNB1;CDK1
Reactome_2022,E2F-enabled Inhibition Of Pre-Replication Complex Formation R-HSA-113507,2/9,0.6958593207039003,0.999996464736758,0,0,0.8644496864392153,0.3134561683252547,CCNB1;CDK1
Reactome_2022,Condensation Of Prometaphase Chromosomes R-HSA-2514853,2/10,0.7524206864798968,0.999996464736758,0,0,0.7563431333064841,0.2151491316765252,CCNB1;CDK1
Reactome_2022,MASTL Facilitates Mitotic Progression R-HSA-2465910,2/10,0.7524206864798968,0.999996464736758,0,0,0.7563431333064841,0.2151491316765252,CCNB1;CDK1
Reactome_2022,TFAP2 (AP-2) Family Regulates Transcription Of Cell Cycle Factors R-HSA-8866911,1/5,0.7601920991508202,0.999996464736758,0,0,0.7563921884437286,0.2073907232353058,MYC
Reactome_2022,TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest R-HSA-6804114,3/18,0.8615062607775597,0.999996464736758,0,0,0.6049144008056395,0.0901763776991023,CCNB1;CDK1;AURKA
Reactome_2022,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) Bind RNA R-HSA-428359,1/7,0.8645559551948648,0.999996464736758,0,0,0.5041943493725254,0.0733800676904483,MYC
Reactome_2022,Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035,2/13,0.8707181043781222,0.999996464736758,0,0,0.5499578955076337,0.0761345214353675,CCNB1;CDK1
Reactome_2022,G1/S-Specific Transcription R-HSA-69205,5/29,0.8810784472403164,0.999996464736758,0,0,0.6299952985425482,0.0797628313258287,DHFR;RRM2;CDK1;TK1;TYMS
Reactome_2022,Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658,2/14,0.8967837126589303,0.999996464736758,0,0,0.5040945093301115,0.0549163426809336,CCNB1;CDK1
Reactome_2022,Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364,1/8,0.8982116642233611,0.999996464736758,0,0,0.4321378239236101,0.0463897932407545,MYC
Reactome_2022,RUNX3 Regulates WNT Signaling R-HSA-8951430,1/8,0.8982116642233611,0.999996464736758,0,0,0.4321378239236101,0.0463897932407545,MYC
Reactome_2022,Phosphorylation Of APC/C R-HSA-176412,3/20,0.9062484642077382,0.999996464736758,0,0,0.5336769148747113,0.0525360987646137,CCNB1;UBE2C;CDK1
Reactome_2022,Depolymerisation Of Nuclear Lamina R-HSA-4419969,2/15,0.9178795246240422,0.999996464736758,0,0,0.4652870287183618,0.0398700424438652,CCNB1;CDK1
Reactome_2022,Polo-like Kinase Mediated Events R-HSA-156711,2/16,0.9348657121087134,0.999996464736758,0,0,0.4320234739082906,0.0290978106617254,CCNB1;CENPF
Reactome_2022,"Tetrahydrobiopterin (BH4) Synthesis, Recycling, Salvage And Regulation R-HSA-1474151",1/10,0.9425149436750182,0.999996464736758,0,0,0.3360624566583898,0.0198960751407105,DHFR
Reactome_2022,MAPK3 (ERK1) Activation R-HSA-110056,1/10,0.9425149436750182,0.999996464736758,0,0,0.3360624566583898,0.0198960751407105,CDK1
Reactome_2022,Metabolism Of Folate And Pterines R-HSA-196757,2/17,0.9484818462114568,0.999996464736758,0,0,0.4031950597395624,0.0213260468148916,DHFR;MTHFD2
Reactome_2022,Pyrimidine Salvage R-HSA-73614,1/11,0.9568009271379,0.999996464736758,0,0,0.3024360781155627,0.0133555550675114,TK1
Reactome_2022,APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048,3/24,0.9588156699842816,0.999996464736758,0,0,0.4319090778305279,0.0181645552914842,CCNB1;UBE2C;CDK1
Reactome_2022,Transcription Of E2F Targets Under Negative Control By DREAM Complex R-HSA-1362277,2/19,0.968004258796608,0.999996464736758,0,0,0.3557129658145981,0.0115673559939698,TOP2A;MYC
Reactome_2022,Initiation Of Nuclear Envelope (NE) Reformation R-HSA-2995383,2/19,0.968004258796608,0.999996464736758,0,0,0.3557129658145981,0.0115673559939698,CCNB1;CDK1
Reactome_2022,Mitotic Telophase/Cytokinesis R-HSA-68884,1/13,0.9756051699273957,0.999996464736758,0,0,0.2519965103013221,0.0062236367971296,KIF20A
Reactome_2022,G0 And Early G1 R-HSA-1538133,3/27,0.9784217814021752,0.999996464736758,0,0,0.3778449144008056,0.0082424724146062,TOP2A;MYC;CDK1
Reactome_2022,TP53 Regulates Transcription Of Additional Cell Death Genes With Uncertain Roles In P53-Dependent Apoptosis R-HSA-6803205,1/14,0.9816682785344256,0.999996464736758,0,0,0.2325966765266141,0.0043034640735413,BIRC5
Reactome_2022,Repression Of WNT Target Genes R-HSA-4641265,1/14,0.9816682785344256,0.999996464736758,0,0,0.2325966765266141,0.0043034640735413,MYC
Reactome_2022,Response Of Mtb To Phagocytosis R-HSA-9637690,2/22,0.984575967915625,0.999996464736758,0,0,0.3022956101490133,0.0046989494459088,PGK1;ENO1
